cs,Country_Region,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value,GDP (BILLIONS),CODE,link
Turkey,Turkey,0.2098,1055,206,0,80,276,497,100,2622,8777,1278,1260,438,149,0,12,0,16,19000000000,4.52E+11,98,245000,845000,388500000,41847478,81257239,783562,7200,1200,2816,813.3,TUR,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg
Turkmenistan,Turkmenistan,1.3292,72,24,20,3,0,25,10,712,2000,68,269,116,4,0,0,0,0,200000000,539400000,26,230880,150000,600000000,2797493,5411012,488100,1768,1300,4158,43.5,TKM,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg
Uganda,Uganda,1.6176,48,10,0,2,10,26,5,371,1081,6,53,26,8,0,0,0,0,935000000,10800000000,47,0,17500,2500000000,14707350,40853749,241038,0,0,2729,26.09,UGA,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg
Ukraine,Ukraine,0.4457,297,48,25,32,76,121,34,2026,10135,738,2040,430,25,0,0,0,1,5400000000,1.30E+11,187,29650,325000,395000000,22195911,43952299,603550,2782,2150,5618,134.9,UKR,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
United Arab Emirates,United Arab Emirates,0.7034,538,98,20,40,145,229,30,434,8691,183,76,72,75,0,0,0,0,22755000000,2.38E+11,43,3174000,575000,97800000000,5820789,9701315,83600,1318,0,1066,416.4,ARE,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg
United Kingdom,United Kingdom,0.1717,733,133,15,44,241,312,49,227,5000,89,126,35,88,2,10,6,13,55100000000,8.13E+12,460,910500,1600000,2564000000,29948413,65105246,243610,12429,3200,443,2848,GBR,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/2560px-Flag_of_the_United_Kingdom.svg.png
United States,United States,0.0606,13264,2085,715,945,2643,5768,967,6289,39253,1465,2740,1366,490,20,66,91,0,7.50E+11,1.79E+13,13513,9352000,20000000,36520000000,144872845,329256465,9826675,19924,41009,12048,17420,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Flag_of_the_United_States_%28Pantone%29.svg/1280px-Flag_of_the_United_States_%28Pantone%29.svg.png
Uruguay,Uruguay,1.8909,50,0,7,9,16,13,0,78,463,0,0,4,20,0,0,0,1,4950000000,28370000000,133,0,55600,0,1549878,3369299,176215,660,1600,1591,55.6,URY,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg
Uzbekistan,Uzbekistan,0.8086,185,66,20,18,2,79,25,420,1215,137,0,98,0,0,0,0,0,975000000,16900000000,53,46070,142000,594000000,15912566,30023709,447400,420,1100,6893,63.08,UZB,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg
Venezuela,Venezuela,0.6449,260,38,0,52,82,86,10,390,600,73,104,36,49,0,2,0,4,745000000,1.00E+11,444,2007000,575000,3.01E+11,14260129,31689176,912050,2800,7100,5267,209.2,VEN,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Venezuela.svg/1200px-Flag_of_Venezuela.svg.png
Vietnam,Vietnam,0.3559,293,77,0,38,36,138,25,2615,2530,70,1000,85,65,0,6,0,9,5500000000,96580000000,45,271400,525000,4400000000,51043216,97040334,331210,3444,17702,4616,187.8,VNM,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/1280px-Flag_of_Vietnam.svg.png
Yemen,Yemen,1.2412,169,77,0,8,21,61,14,620,615,20,85,150,30,0,0,0,0,1400000000,7068000000,57,12260,145000,3000000000,11266221,28667230,527968,1906,0,1601,45.45,YEM,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg
Zambia,Zambia,1.6464,108,18,0,11,52,27,0,75,184,0,42,50,0,0,0,0,0,40000000,11660000000,88,0,21000,0,6166905,16445079,752618,0,2250,6043,25.61,ZMB,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg
Zimbabwe,Zimbabwe,1.7577,90,10,0,14,38,28,6,42,300,0,65,22,0,0,0,0,0,100000000,9357000000,196,0,19500,0,5584086,14030368,390757,0,0,3229,13.74,ZWE,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Zimbabwe.svg
