cs,Country_Region,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value,GDP (BILLIONS),CODE,link
Latvia,Latvia,2.0145,5,0,0,0,12,5,0,0,303,47,20,0,18,0,0,0,0,724000000,40020000000,42,0,32500,0,840595,1923559,64589,498,300,1370,32.82,LVA,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg
Lebanon,Lebanon,2.5193,70,0,9,0,0,55,0,366,2228,12,374,30,57,0,0,0,0,2500000000,39300000000,8,0,110000,0,2135026,6100075,10400,225,170,484,47.5,LBN,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg
Liberia,Liberia,5.5737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000000,1036000000,29,0,4500,0,2226923,4809768,111369,579,0,1667,2.07,LBR,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg
Libya,Libya,1.3696,114,17,2,4,62,26,7,250,450,50,100,55,5,0,0,0,1,3000000000,3020000000,146,897100,315000,48360000000,3552871,6754507,1759540,1770,0,4339,49.34,LBY,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg
Lithuania,Lithuania,1.4752,10,0,0,5,0,5,0,0,420,56,54,0,12,0,0,0,0,1107000000,34480000000,61,2000,72400,12000000,1779322,2793284,65300,90,441,1545,48.72,LTU,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg
Madagascar,Madagascar,3.0869,6,0,0,0,0,6,0,12,103,0,25,0,8,0,0,0,0,115000000,4089000000,83,0,18500,0,10145026,25683610,587040,4828,600,0,11.19,MDG,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg
Malaysia,Malaysia,0.6546,170,26,13,18,40,65,0,74,1387,0,211,54,61,0,2,0,6,4000000000,2.17E+11,114,647900,835000,3600000000,15201837,31809660,329847,4675,7200,2742,336.9,MYS,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg
Mali,Mali,1.8941,29,9,0,6,5,8,6,80,248,0,50,32,0,0,0,0,0,70000000,4192000000,25,0,5500,0,5991557,18429893,1240192,0,0,7908,12.04,MLI,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg
Mauritania,Mauritania,3.0477,28,0,2,6,9,4,0,35,95,0,224,0,5,0,0,0,0,50250000,4150000000,30,4000,18500,20000000,1555374,3840429,1030700,754,0,5002,4.29,MRT,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg
Mexico,Mexico,0.6065,484,3,33,43,206,202,0,0,2199,0,265,0,189,0,0,0,4,7000000000,4.46E+11,1714,1981000,2000000,7640000000,60460418,125959205,1964375,9330,2900,4389,1296,MEX,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg
Moldova,Moldova,2.1291,3,0,0,1,0,2,0,0,341,9,52,11,0,0,0,0,0,30000000,6549000000,7,0,16320,0,2014503,3437720,33851,0,558,1885,7.74,MDA,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/2560px-Flag_of_Moldova.svg.png
Mongolia,Mongolia,2.0299,9,0,0,3,0,6,0,470,750,0,300,130,0,0,0,0,0,155000000,25330000000,44,20000,25000,0,1818609,3103428,1564116,0,580,8082,11.73,MNG,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg
Montenegro,Montenegro,2.9941,9,0,0,0,0,9,0,0,26,0,12,18,18,0,0,0,2,65000000,2516000000,5,0,4860,0,146191,614249,13812,294,0,680,4.66,MNE,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg
Morocco,Morocco,0.8408,214,46,0,31,67,64,0,1443,2901,505,200,144,121,0,0,0,3,10000000000,51480000000,55,160,206000,684000,17157065,34314130,446550,1835,0,2363,112.6,MAR,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg
Mozambique,Mozambique,2.3364,16,8,0,1,1,6,2,100,335,0,260,12,8,0,0,0,0,245000000,10910000000,98,0,22500,0,4629744,27233789,799380,2470,460,4783,16.59,MOZ,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg
Burma,Burma,0.5691,276,59,21,27,82,86,9,434,1300,108,1612,84,187,0,1,0,5,2650000000,6594000000,64,12000,42600,139000000,30258643,55622506,676578,1930,12800,6522,65.29,MMR,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg
Namibia,Namibia,3.2817,30,6,0,3,14,7,2,7,410,0,50,4,8,0,0,0,0,505000000,7969000000,112,0,25000,0,582642,2533224,824292,1572,0,4220,13.11,NAM,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg
Nepal,Nepal,2.9891,16,0,0,3,0,13,0,0,214,0,84,0,0,0,0,0,0,213000000,5849000000,47,0,20000,0,14739923,29717587,147181,0,0,3159,19.64,NPL,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg
